mz,int,formula
283.093559,5.3,C12H16N2O6
283.097582,137.2,C17H16O4
283.118711,833.9,C14H20O6
283.133967,58.8,C18H20O3
283.155097,52.2,C15H24O5
284.041189,138.6,C11H11N1O8
284.056446,44.4,C15H11N1O5
284.077575,114.3,C12H15N1O7
284.092831,6,C16H15N1O4
284.11396,1.7,C13H19N1O6
284.988819,3.5,C10H6O10
285.004076,97.7,C14H6O7
285.025205,797.9,C11H10O9
285.040461,395,C15H10O6
285.043832,90.3,C12H14O6S1
285.06159,1852.2,C12H14O8
285.072824,18.1,C11H14N2O7
285.076846,263.1,C16H14O5
285.097976,1094,C13H18O7
285.113232,143.7,C17H18O4
285.134361,128.8,C14H22O6
285.149617,51.8,C18H22O3
286.03571,47.9,C14H9N1O6
286.072095,40.8,C15H13N1O5
286.093225,13,C12H17N1O7
287.001967,4.6,C14H8O5S1
287.00447,29.3,C10H8O10
287.019726,303,C14H8O7
287.023097,29.1,C11H12O7S1
287.040855,1022.1,C11H12O9
287.056111,449.2,C15H12O6
287.07724,855.4,C12H16O8
287.092497,289.3,C16H16O5
287.113626,139.2,C13H20O7
287.128882,168.4,C17H20O4
287.150011,1.5,C14H24O6
287.165267,25.7,C18H24O3
288.014975,11,C13H7N1O7
288.05136,81.7,C14H11N1O6
288.087746,29.6,C15H15N1O5
288.99899,107.9,C13H6O8
289.002361,7.9,C10H10O8S1
289.020119,152.1,C10H10O10
289.035376,548.2,C14H10O7
289.038747,29.2,C11H14O7S1
289.050632,31.7,C18H10O4
289.056505,315.3,C11H14O9
289.071761,486,C15H14O6
289.075132,9.4,C12H18O6S1
289.087017,9.5,C19H14O3
289.09289,91.3,C12H18O8
289.108146,332.3,C16H18O5
289.144532,135.7,C17H22O4
290.030625,64.4,C13H9N1O7
290.06701,85.5,C14H13N1O6
290.103396,8.4,C15H17N1O5
290.978255,2.2,C12H4O9
291.01464,375.8,C13H8O8
291.018011,15,C10H12O8S1
291.029897,58.6,C17H8O5
291.03577,101.4,C10H12O10
291.051026,721.1,C14H12O7
291.054397,17.1,C11H16O7S1
291.066282,74.5,C18H12O4
291.072155,14.5,C11H16O9
291.087411,622,C15H16O6
291.102667,5.3,C19H16O3
291.123797,379.6,C16H20O5
292.009889,10.6,C12H7N1O8
292.046275,124.8,C13H11N1O7
292.08266,79.9,C14H15N1O6
292.119046,5.2,C15H19N1O5
292.993905,76.4,C12H6O9
293.009161,10.8,C16H6O6
293.03029,747.3,C13H10O8
293.033661,21.1,C10H14O8S1
293.045547,124.2,C17H10O5
